"net_income","net_wealth"
8700,190000
20200,209700
5570,160000
22000,313000
37900,207425.59597
16600,60500
27170,215898
32271,318379.90158
56000,195704.72189
9000,47100
40000,63765.9652
19100,106000
45500,214000
61000,4e+05
47750,705577.89354
13000,2400.1096415
15350,111166.38621
17000,254605.47942
28420,199556.49125
34600,102435.40274
84600,509000
41000,240518.97965
8280,57000
26000,252000
48860,1055000
108572,512500
10560,47500
11240,121000
33200,84915.334308
30600,157770.09537
31900,142696.63775
8900,9700
19800,157026.71004
61440,223400
22380,487640
38600,151066.52083
18257,123874.59497
37900,717795.05889
39300,105779.09289
21462,167500
13289,6000
9600,415029.43397
13900,202000
34370,330663.52308
34260,479000
105400,4709000
3120,2000
29200,234173.06894
18955,823000
37200,450147.83397
34100,607000
53300,396858.64461
18500,128143.43464
61400,554100
8450,1849.2186067
46900,293085.01396
53500,335000
45700,60649.964998
24800,329393.32608
56000,824721.37268
133350,2215641.2308
47000,405000
29410,77174.341854
6000,200
13400,355000
10100,81000
5000,320
17450,182167.07441
97400,884000
27710,169354.10621
24500,152521.7683
26600,104604.31872
17000,8037.621777
21350,2805.4743588
9000,37000
41700,10000
16600,124200
44300,1045000
12120,30100
25600,618000
15500,61800
10200,200
98100,669298.62983
21800,39000
35800,202831.97834
63500,271675.72883
23300,75436.725868
12540,101400
73630,326500
31000,52615.320222
32800,220500
22000,7738.173481
38300,22000
39000,362694.57193
8880,200
10000,1000
10500,1500
14900,952000
19600,153802.40673
17400,60900
18800,130000
40800,136861.41689
64200,554697.26374
28650,303000
45080,258487.21993
22040,396000
44400,14453.581488
42300,176286.71594
57000,481000
56100,587000
21600,75300
16200,2000
25400,457317.53984
28000,220000
47400,350000
22200,293380.46249
21600,190224.01401
67900,1975294.0168
53168.857183,66800
28250,211970.23477
49800,407000
97200,1932800
27250,10300
42800,262000
61200,175415.96135
11110,1000
19000,40200
20400,123000
12890,156888.03825
29835,264987
86500,323500
40031,711000
13450,50300
19750,1157.8749658
13000,1200
49300,387441.4789
50982.49489,275553.39523
40400,357017.21544
20700,9500
14200,645329.0276
7200,9046.2676929
22800,155112.96451
40240,195471.4446
11400,80000
39223,192130.71456
9800,700
47179.313337,133000
13760,1000
19700,144800
32900,261289.5796
8400,100
14600,225500
19100,150100
19700,20800
22933.867244,139000
23000,252575.48903
15300,79923.387946
26500,163390.3651
11600,40600
58304,1409500
26500,194073.58002
42000,70500
64000,773296.86878
15500,900
11167,3755.7871893
23400,1390.3816902
21560,9868.4732106
73000,8000
48500,323000
37200,80643.509997
12260,228582.66736
14000,600
46200,225000
15300,240656.17545
49800,910000
46200,356375.75688
51300,390305.38794
26000,305000
25600,87500
16400,110200
35800,388000
26670,204500
25200,237000
16000,1000
68850,465000
23840,354000
55900,494500
35100,286718.22557
10465,9850
18600,271000
41200,90898.481375
49040,643379.2842
86400,1520000
16220,80000
29400,245000
17200,10000
47220.322224,345000
36440,336686.24364
27000,2000
66400,363000
65500,460000
20920,84366.693264
33400,4e+05
31800,304236.01714
59450,722273.80325
25560,234000
26200,130000
37330,94152.814884
9600,50500
11140,1100
4800,151000
31872,787000
62200,453000
19850,107000
600,653.53151279
43000,260800
65800,1650000
39050,120100
32600,177000
41650,320000
48000,145033.99657
10700,85000
84000,55251.641263
22340,153000
20330,214473.73377
25550,194494.31047
16420,115976.30202
17640,3600
52160,236000
24000,143000
25396,182000
36600,18000
12400,95700
19903,236000
27168,159400
12610,2500
34240,251156.52896
17150,162349.76024
19700,151800
25010,221850.58777
49400,1287000
8900,30000
26610,180500
253600,3450071.418
25300,214000
7200,253500
39220,375000
7200,2500
14310,258000
16652,4148.7047186
16400,80000
37900,496500
6000,140600
78450,536548.63886
66500,248212.2356
16160,145625.27224
56200,207000
76900,609000
23400,27899.357884
58000,157358.41585
20900,235374.24712
30400,219004.24887
98400,259014.73024
40240,351500
26907,850094.60735
63400,1e+05
25253,306300
57620,622272.34354
20000,578798.8298
20600,202000
13000,10000
95600,4110000
17400,157025.84864
28800,898800
18200,5500
10000,16000
20000,20000
25850,254219.32493
31190,36000
26000,140067.63618
13000,2000
27800,363000
48780,180000
26300,3293000
47000,1320000
37700,587000
17601,1000
79400,520156.33589
24200,204868.83069
35200,419991.28055
21750,97500
38650,1e+05
16420,76000
300,98157.102572
400,4000
500,6.8484467176
600,50403.565033
600,653.53151279
650,3670.9180652
1200,50000
1500,1000
1680,10000
